,user.index,sugg.decision.utime,sugg.device.since,recognized.activity,dec.location.category,dec.weather.condition,dec.temperature,dec.windspeed,dec.precipitation.chance,dec.snow,jbmins60,jbsteps60,Time of Day
309,2,2015-07-30 19:02:05,,STILL,"university,point_of_interest,establishment",Clear,28.2,4.0,0.0,0.0,1.0,24.0,19:02:05
312,2,2015-07-31 12:34:48,,STILL,"university,point_of_interest,establishment",Clear,23.4,0.0,0.0,0.0,0.0,0.0,12:34:48
315,2,2015-07-31 22:01:16,,IN_VEHICLE,"university,point_of_interest,establishment",Clear,28.3,6.0,15.0,0.0,11.0,317.0,22:01:16
318,2,2015-08-01 17:01:32,,STILL,"university,point_of_interest,establishment",Clear,25.6,4.0,15.0,0.0,8.0,266.0,17:01:32
321,2,2015-08-02 00:32:57,,STILL,"university,point_of_interest,establishment",Clear,25.0,7.0,0.0,0.0,33.0,2635.0,00:32:57
322,2,2015-08-02 12:33:00,,STILL,"university,point_of_interest,establishment",Clear,19.3,0.0,0.0,0.0,0.0,0.0,12:33:00
325,2,2015-08-02 22:03:20,,STILL,"university,point_of_interest,establishment",Clear,-1024.0,-1.0,-1.0,-1.0,0.0,0.0,22:03:20
330,2,2015-08-03 22:02:22,,STILL,"university,point_of_interest,establishment",Partly Cloudy,25.5,3.0,0.0,0.0,1.0,20.0,22:02:22
336,2,2015-08-05 00:30:52,,IN_VEHICLE,"university,point_of_interest,establishment",Partly Cloudy,22.9,0.0,0.0,0.0,49.0,4143.0,00:30:52
337,2,2015-08-05 13:32:29,,STILL,"university,point_of_interest,establishment",Clear,19.6,0.0,0.0,0.0,22.0,1700.0,13:32:29
338,2,2015-08-05 17:01:37,,ON_FOOT,"university,point_of_interest,establishment",Clear,23.3,1.0,0.0,0.0,8.0,622.0,17:01:37
339,2,2015-08-05 19:01:03,,STILL,"university,point_of_interest,establishment",Partly Cloudy,24.3,3.0,0.0,0.0,5.0,264.0,19:01:03
340,2,2015-08-05 22:01:53,,STILL,"university,point_of_interest,establishment",Partly Cloudy,24.0,1.0,0.0,0.0,17.0,1518.0,22:01:53
349,2,2015-08-07 19:02:47,,STILL,"university,point_of_interest,establishment",Partly Cloudy,24.9,2.0,0.0,0.0,0.0,0.0,19:02:47
351,2,2015-08-08 00:30:57,,STILL,"electronics_store,store,point_of_interest,establishment",Partly Cloudy,22.5,1.0,0.0,0.0,0.0,0.0,00:30:57
356,2,2015-08-09 00:31:55,,STILL,"university,point_of_interest,establishment",Overcast,22.6,0.0,0.0,0.0,36.0,3068.0,00:31:55
359,2,2015-08-09 19:01:51,,STILL,"university,point_of_interest,establishment",Rain,24.1,0.0,0.0,0.0,2.0,44.0,19:01:51
360,2,2015-08-09 22:00:59,,IN_VEHICLE,"university,health,point_of_interest,establishment",Clear,25.1,5.0,0.0,0.0,29.0,1477.0,22:00:59
365,2,2015-08-10 22:03:27,,STILL,"university,point_of_interest,establishment",Mostly Cloudy,21.7,0.0,15.0,0.0,17.0,880.0,22:03:27
366,2,2015-08-11 00:31:31,,STILL,"university,point_of_interest,establishment",Partly Cloudy,22.4,0.0,15.0,0.0,0.0,0.0,00:31:31
367,2,2015-08-11 13:33:38,,STILL,"university,point_of_interest,establishment",Overcast,20.7,1.0,0.0,0.0,0.0,0.0,13:33:38
368,2,2015-08-11 17:03:40,,STILL,"university,point_of_interest,establishment",Clear,24.6,3.0,15.0,0.0,3.0,129.0,17:03:40
369,2,2015-08-11 19:01:31,,STILL,"university,point_of_interest,establishment",Partly Cloudy,24.7,0.0,15.0,0.0,1.0,51.0,19:01:31
377,2,2015-08-13 13:33:09,,STILL,"university,point_of_interest,establishment",Partly Cloudy,19.1,1.6,0.0,0.0,20.0,1748.0,13:33:09
379,2,2015-08-13 19:02:17,,STILL,"university,point_of_interest,establishment",Clear,27.8,5.0,15.0,0.0,19.0,1574.0,19:02:17
380,2,2015-08-13 22:01:40,,STILL,"university,point_of_interest,establishment",Clear,28.3,3.0,15.0,0.0,2.0,77.0,22:01:40
381,2,2015-08-14 00:34:32,,STILL,"university,point_of_interest,establishment",Partly Cloudy,23.0,0.0,0.0,0.0,3.0,100.0,00:34:32
386,2,2015-08-15 00:31:05,,STILL,"electronics_store,store,point_of_interest,establishment",Partly Cloudy,25.1,5.0,49.0,0.0,4.0,111.0,00:31:05
389,2,2015-08-15 19:01:43,,STILL,"clothing_store,store,point_of_interest,establishment",Partly Cloudy,28.4,0.0,15.0,0.0,1.0,22.0,19:01:43
390,2,2015-08-15 22:01:59,,ON_FOOT,"grocery_or_supermarket,bakery,clothing_store,store,car_repair,food,point_of_interest,establishment",Clear,27.2,0.0,0.0,0.0,23.0,730.0,22:01:59
391,2,2015-08-16 00:31:49,,STILL,"university,point_of_interest,establishment",Clear,25.8,0.0,0.0,0.0,12.0,685.0,00:31:49
396,2,2015-08-17 00:31:19,,STILL,"university,point_of_interest,establishment",Clear,28.1,1.0,0.0,0.0,3.0,101.0,00:31:19
407,2,2015-08-19 13:31:36,,STILL,"university,point_of_interest,establishment",Clear,24.2,5.0,0.0,0.0,17.0,1468.0,13:31:36
413,2,2015-08-20 17:02:08,,STILL,"university,point_of_interest,establishment",Mostly Cloudy,20.4,5.0,0.0,0.0,16.0,1472.0,17:02:08
415,2,2015-08-20 22:00:53,,STILL,"university,point_of_interest,establishment",Overcast,20.3,4.0,0.0,0.0,5.0,320.0,22:00:53
416,2,2015-08-21 00:31:29,,STILL,"restaurant,food,point_of_interest,establishment",Overcast,18.6,0.0,0.0,0.0,2.0,73.0,00:31:29
421,2,2015-08-22 00:31:30,,STILL,"park,point_of_interest,establishment",Partly Cloudy,20.1,0.0,0.0,0.0,8.0,171.0,00:31:30
